location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_per_case,recovered,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
Ukraine,3/10/2020,,,0.143,,,0,,,0.003,,,0,,,,,,,,,0,11.11,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,3/11/2020,,,0,,,0,,,0,,,0,,,,,,,,,0,11.11,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,3/12/2020,,,0,,,0,,,0,,,0,,,,,,,,,0,50,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,3/13/2020,3,2,0.286,,0,0,0.069,0.046,0.007,,0,0,,,,,,,,,0,50,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,3/14/2020,,,0.286,,,0,,,0.007,,,0,,,,,,,,,0,50,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,3/15/2020,,,0.286,,,0,,,0.007,,,0,,,,,,,,,0,50,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,3/16/2020,3,0,0.286,,0,0,0.069,0,0.007,,0,0,,,,,,,,,0,64.81,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,3/17/2020,5,2,0.571,,0,0,0.114,0.046,0.013,,0,0,,,,,,,,,0,77.78,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,3/18/2020,14,9,1.857,,0,0,0.32,0.206,0.042,,0,0,,,,,,,,,0,88.89,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,3/19/2020,19,5,2.571,2,2,0.286,0.434,0.114,0.059,0.046,0.046,0.007,,,,,,,,,0,88.89,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,3/20/2020,26,7,3.286,2,0,0.286,0.595,0.16,0.075,0.046,0,0.007,,,,,,,,,0,88.89,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,3/21/2020,26,0,3.286,3,1,0.429,0.595,0,0.075,0.069,0.023,0.01,,,,,,,,,1,88.89,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,3/22/2020,41,15,5.429,3,0,0.429,0.937,0.343,0.124,0.069,0,0.01,,,,,,,,,1,88.89,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,3/23/2020,47,6,6.286,3,0,0.429,1.075,0.137,0.144,0.069,0,0.01,,,,,,,,,1,88.89,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,3/24/2020,73,26,9.714,3,0,0.429,1.669,0.595,0.222,0.069,0,0.01,,,,,,,,,1,88.89,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,3/25/2020,84,11,10,3,0,0.429,1.921,0.252,0.229,0.069,0,0.01,,,,,,,,,1,88.89,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,3/26/2020,113,29,13.429,4,1,0.286,2.584,0.663,0.307,0.091,0.023,0.007,2.42,,,,,,,,1,88.89,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,3/27/2020,156,43,18.571,5,1,0.429,3.567,0.983,0.425,0.114,0.023,0.01,2.42,,,,,,,,5,88.89,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,3/28/2020,218,62,27.429,5,0,0.286,4.985,1.418,0.627,0.114,0,0.007,2.29,,,,,,,,5,88.89,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,3/29/2020,311,93,38.571,8,3,0.714,7.111,2.127,0.882,0.183,0.069,0.016,2.22,,,,,,,,6,88.89,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,3/30/2020,418,107,53,9,1,0.857,9.558,2.447,1.212,0.206,0.023,0.02,2.11,,,,,,,,8,88.89,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,3/31/2020,480,62,58.143,11,2,1.143,10.976,1.418,1.329,0.252,0.046,0.026,2.04,,,,,,,,10,88.89,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,4/1/2020,549,69,66.429,13,2,1.429,12.553,1.578,1.519,0.297,0.046,0.033,1.98,,,,,,,,13,88.89,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,4/2/2020,794,245,97.286,20,7,2.286,18.155,5.602,2.224,0.457,0.16,0.052,1.89,,,,,,,,19,88.89,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,4/3/2020,897,103,105.857,22,2,2.429,20.51,2.355,2.42,0.503,0.046,0.056,1.83,,,,,,,,22,88.89,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,4/4/2020,1072,175,122,27,5,3.143,24.512,4.001,2.79,0.617,0.114,0.072,1.74,,,,,,,,25,88.89,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,4/5/2020,1225,153,130.571,32,5,3.429,28.01,3.498,2.986,0.732,0.114,0.078,1.66,,,,,,,,28,88.89,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,4/6/2020,1308,83,127.143,37,5,4,29.908,1.898,2.907,0.846,0.114,0.091,1.62,,,,,,,,28,88.89,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,4/7/2020,1319,11,119.857,38,1,3.857,30.16,0.252,2.741,0.869,0.023,0.088,1.68,,,,,,,,28,88.89,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,4/8/2020,1462,143,130.429,45,7,4.571,33.43,3.27,2.982,1.029,0.16,0.105,1.74,,,,,,,,35,88.89,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,4/9/2020,1668,206,124.857,52,7,4.571,38.14,4.71,2.855,1.189,0.16,0.105,1.77,20608,,0.471,,,,,45,88.89,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,4/10/2020,1892,224,142.143,57,5,5,43.262,5.122,3.25,1.303,0.114,0.114,1.78,23522,2914,0.538,0.067,,,,61,88.89,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,4/11/2020,2203,311,161.571,69,12,6,50.373,7.111,3.694,1.578,0.274,0.137,1.75,,,,,,,,79,88.89,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,4/12/2020,2511,308,183.714,73,4,5.857,57.416,7.043,4.201,1.669,0.091,0.134,1.7,,,,,,,,89,88.89,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,4/13/2020,2777,266,209.857,83,10,6.571,63.498,6.082,4.799,1.898,0.229,0.15,1.66,35153,,0.804,,,,,97,88.89,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,4/14/2020,3102,325,254.714,93,10,7.857,70.929,7.431,5.824,2.127,0.229,0.18,1.62,,,,,,,,119,88.89,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,4/15/2020,3372,270,272.857,98,5,7.571,77.103,6.174,6.239,2.241,0.114,0.173,1.6,,,,,,,,143,88.89,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,4/16/2020,3764,392,299.429,108,10,8,86.066,8.963,6.847,2.469,0.229,0.183,1.57,42823,,0.979,,3174,0.073,10.6,186,88.89,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,4/17/2020,4161,397,324.143,116,8,8.429,95.144,9.078,7.412,2.652,0.183,0.193,1.53,47096,4273,1.077,0.098,3368,0.077,10.39,246,88.89,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,4/18/2020,4462,301,322.714,125,9,8,102.026,6.883,7.379,2.858,0.206,0.183,1.46,,,,,3529,0.081,10.935,275,88.89,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,4/19/2020,5106,644,370.714,133,8,8.571,116.752,14.725,8.477,3.041,0.183,0.196,1.4,57111,,1.306,,3691,0.084,9.956,347,88.89,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,4/20/2020,5449,343,381.714,141,8,8.286,124.595,7.843,8.728,3.224,0.183,0.189,1.36,,,,,3679,0.084,9.638,359,88.89,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,4/21/2020,5710,261,372.571,151,10,8.286,130.563,5.968,8.519,3.453,0.229,0.189,1.34,,,,,3856,0.088,10.35,367,88.89,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,4/22/2020,6125,415,393.286,161,10,9,140.052,9.489,8.993,3.681,0.229,0.206,1.33,,,,,4033,0.092,10.255,424,88.89,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,4/23/2020,6592,467,404,174,13,9.429,150.73,10.678,9.238,3.979,0.297,0.216,1.32,72296,,1.653,,4210,0.096,10.421,504,88.89,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,4/24/2020,7170,578,429.857,187,13,10.143,163.947,13.216,9.829,4.276,0.297,0.232,1.28,,,,,4413,0.101,10.266,782,88.89,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,4/25/2020,7647,477,455,193,6,9.714,174.853,10.907,10.404,4.413,0.137,0.222,1.24,,,,,4511,0.103,9.914,782,88.89,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,4/26/2020,8125,478,431.286,201,8,9.714,185.783,10.93,9.862,4.596,0.183,0.222,1.21,89373,,2.044,,4609,0.105,10.687,840,88.89,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,4/27/2020,8617,492,452.571,209,8,9.714,197.033,11.25,10.348,4.779,0.183,0.222,1.17,93519,4146,2.138,0.095,4659,0.107,10.295,864,88.89,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,4/28/2020,9009,392,471.286,220,11,9.857,205.996,8.963,10.776,5.03,0.252,0.225,1.15,98719,5200,2.257,0.119,4859,0.111,10.31,992,88.89,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,4/29/2020,9410,401,469.286,239,19,11.143,215.166,9.169,10.731,5.465,0.434,0.255,1.15,104544,5825,2.39,0.133,5149,0.118,10.972,1103,88.89,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,4/30/2020,9866,456,467.714,250,11,10.857,225.592,10.427,10.695,5.716,0.252,0.248,1.14,111859,7315,2.558,0.167,5652,0.129,12.084,1238,88.89,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,5/1/2020,10406,540,462.286,261,11,10.571,237.94,12.347,10.57,5.968,0.252,0.242,1.12,118545,6686,2.711,0.153,5794,0.132,12.533,1413,88.89,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,5/2/2020,10861,455,459.143,272,11,11.286,248.344,10.404,10.499,6.219,0.252,0.258,1.11,122752,4207,2.807,0.096,5582,0.128,12.157,1498,88.89,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
